Timestamp,Filename,10,20,30,40
2025-12-15 15:25:26,2025_12_15_15_19_48.dphase,nan,0.0094,nan,nan
2025-12-15 15:25:36,2025_12_15_15_19_48.dphase,nan,0.0094,nan,nan
2025-12-15 15:28:59,2025_12_15_15_28_19.dphase,nan,1.2910,nan,nan
2025-12-15 15:32:55,2025_12_15_15_31_34.dphase,nan,1.4954,nan,nan
2025-12-15 15:33:29,2025_12_15_15_31_34.dphase,nan,1.4954,nan,nan
2025-12-15 15:33:37,2025_12_15_15_31_34.dphase,nan,1.4954,nan,nan
2025-12-15 15:34:02,2025_12_15_15_31_34.dphase,nan,1.4954,nan,nan
2025-12-15 15:37:21,2025_12_15_15_36_40.dphase,nan,0.0560,nan,nan
2025-12-15 15:42:48,2025_12_15_15_42_11.dphase,nan,0.0231,nan,nan
2025-12-15 15:47:55,2025_12_15_15_47_17.dphase,nan,0.6894,nan,nan
2025-12-15 15:54:41,2025_12_15_15_53_59.dphase,nan,0.6518,nan,nan
2025-12-15 15:59:49,2025_12_15_15_59_05.dphase,nan,2.0574,nan,nan
2025-12-15 16:04:54,2025_12_15_16_04_17.dphase,nan,3.1850,nan,nan
2025-12-16 12:13:03,2025_12_16_12_12_27.dphase,2.4204,1.1667,0.2820,0.0103,0.1846,4.0198
2025-12-16 12:20:02,2025_12_16_12_19_23.dphase,2.8424,1.3572,0.2518,0.0228,0.1299,3.4860
2025-12-16 12:22:07,2025_12_16_12_21_29.dphase,0.9687,1.0817,0.0165,0.0386,0.1255,3.8243
2025-12-16 12:29:05,2025_12_16_12_28_24.dphase,1.7055,0.8878,0.9507,0.1399,0.0609,2.0516
2025-12-16 12:31:07,2025_12_16_12_30_30.dphase,3.9590,1.2455,1.4413,0.3056,0.1510,4.2246
