time,program_time,vert_angle,azimuth,distance,board2_temp,ax,ay,az,temperture,points,frequency(khz),program_frequency
15:11:22.95,16.596,-15,11.71,0.10,0.00,0.214219,0.011191,0.982812,47.75,16128,0.97,0.06
15:11:22.95,16.596,1,11.71,0.07,0.00,0.214219,0.011191,0.982812,47.75,16128,0.97,0.06
15:11:22.95,16.596,-13,11.71,0.10,0.00,0.214219,0.011191,0.982812,47.75,16128,0.97,0.06
15:11:22.95,16.596,3,11.71,0.04,0.00,0.214219,0.011191,0.982812,47.75,16128,0.97,0.06
15:11:31.53,25.178,-15,328.37,0.00,0.00,0.213402,0.01166,0.984469,47.75,16128,2.30,0.14
15:11:31.53,25.178,1,328.37,0.07,0.00,0.213402,0.01166,0.984469,47.75,16128,2.30,0.14
15:11:37.15,30.802,-15,181.27,0.90,0.00,0.212734,0.011367,0.98482,47.75,16128,16.85,1.04
15:11:43.47,37.118,-15,226.63,0.88,0.00,0.213125,0.012766,0.984445,47.42,16128,5.92,0.37
15:11:46.62,40.265,-15,35.34,0.11,0.00,0.211555,0.010711,0.98077,47.31,16128,9.26,0.57
15:11:52.75,46.399,-15,130.05,1.24,0.00,0.214312,0.010301,0.982699,47.86,16128,10.20,0.63
15:11:56.66,50.306,-15,97.74,2.02,0.00,0.212199,0.01173,0.981883,47.53,16128,6.33,0.39
15:12:02.47,56.122,-15,338.57,0.02,0.00,0.214031,0.011848,0.98357,47.42,16128,6.27,0.39
15:12:06.65,60.290,-15,3.26,0.09,0.00,0.210031,0.009387,0.981902,47.42,16128,15.06,0.93
15:12:48.16,101.808,-15,15.83,0.09,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,1,15.83,0.03,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,-13,15.83,0.10,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,3,15.83,0.03,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,-11,15.83,0.11,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,5,15.83,0.03,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,-9,15.83,0.12,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:48.16,101.808,7,15.83,0.04,0.00,0.212492,0.011613,0.983004,47.75,16128,0.42,0.03
15:12:55.00,108.649,-15,58.59,0.00,0.00,0.21334,0.010906,0.984281,47.53,16128,3.49,0.22
