quat	0.91	-0.02	-0.01	-0.41		202	-216	16504	22	9	-9

quat	0.91	-0.02	-0.01	-0.41		210	-302	16650	6	5	6

quat	0.91	-0.02	-0.01	-0.41		226	-248	16358	-19	-1	14

quat	0.91	-0.02	-0.01	-0.41		130	-346	16444	-20	6	23

quat	0.91	-0.02	-0.00	-0.41		114	-438	16490	-7	17	9

quat	0.91	-0.02	-0.00	-0.41		54	-464	16462	-3	12	-2

quat	0.91	-0.02	-0.00	-0.41		90	-422	16414	-4	13	-16

quat	0.91	-0.02	-0.00	-0.41		132	-298	16412	4	15	-14

quat	0.91	-0.02	-0.00	-0.41		226	-244	16286	-6	20	0

quat	0.91	-0.02	-0.00	-0.41		-54	-304	16470	9	22	17

quat	0.91	-0.02	-0.00	-0.41		48	-368	16546	3	20	4

quat	0.91	-0.02	-0.00	-0.41		106	-332	16544	-2	9	7

quat	0.91	-0.02	-0.00	-0.41		212	-330	16572	9	11	5

quat	0.91	-0.02	-0.00	-0.41		192	-352	16440	2	21	-2

quat	0.91	-0.02	-0.00	-0.41		184	-458	16392	3	21	-4

quat	0.91	-0.02	-0.00	-0.41		182	-416	16302	-7	-1	2

quat	0.91	-0.02	-0.00	-0.41		74	-380	16340	-5	-15	12

quat	0.91	-0.02	-0.00	-0.41		-12	-408	16472	0	-8	16

quat	0.91	-0.02	-0.00	-0.41		-44	-406	16454	7	10	5

quat	0.91	-0.02	-0.00	-0.41		104	-412	16508	5	39	-15

quat	0.91	-0.02	-0.00	-0.41		68	-328	16366	-8	32	-7

quat	0.91	-0.02	-0.00	-0.41		32	-374	16254	-2	22	-11

quat	0.91	-0.02	-0.00	-0.41		56	-350	16388	10	-7	-9

quat	0.91	-0.01	-0.00	-0.41		14	-338	16398	34	-20	-14

quat	0.91	-0.01	-0.00	-0.41		110	-250	16398	25	-12	-19

quat	0.91	-0.01	-0.00	-0.41		160	-166	16606	30	9	-20

quat	0.91	-0.01	-0.00	-0.41		164	-178	16664	9	17	-9

quat	0.91	-0.01	-0.00	-0.41		278	-194	16576	-7	26	4

quat	0.91	-0.01	-0.00	-0.41		374	-128	16392	-10	40	17

quat	0.91	-0.01	-0.00	-0.41		34	-396	16634	3	39	30

quat	0.91	-0.01	-0.00	-0.41		-106	-348	16604	-16	4	14

quat	0.91	-0.01	-0.00	-0.41		-90	-272	16468	-7	-11	-8

quat	0.91	-0.01	-0.00	-0.41		60	-224	16538	-16	7	-6

quat	0.91	-0.01	-0.00	-0.41		-2	-170	16484	-21	13	1

quat	0.91	-0.01	-0.00	-0.41		26	-294	16478	-30	11	3

quat	0.91	-0.01	-0.00	-0.41		56	-276	16444	-15	8	-5

quat	0.91	-0.01	-0.00	-0.41		112	-256	16316	-3	10	-14

quat	0.91	-0.01	-0.00	-0.41		250	-290	16364	-4	13	0

quat	0.91	-0.01	-0.00	-0.41		188	-296	16380	-12	3	15

quat	0.91	-0.01	-0.00	-0.41		12	-394	16516	-13	-15	21

quat	0.91	-0.01	-0.00	-0.41		-22	-464	16508	-9	-21	7

quat	0.91	-0.01	-0.00	-0.41		-118	-452	16480	2	-19	-16

quat	0.91	-0.01	-0.00	-0.41		114	-420	16604	13	-11	-38

quat	0.91	-0.01	-0.00	-0.41		174	-310	16450	-23	-3	-10

quat	0.91	-0.01	-0.00	-0.41		218	-282	16414	-20	7	0

quat	0.91	-0.01	-0.00	-0.41		114	-318	16488	-33	7	29

quat	0.91	-0.01	-0.00	-0.41		-174	-412	16480	-35	5	31

quat	0.91	-0.01	0.00	-0.41		-146	-546	16560	-14	11	1

quat	0.91	-0.01	0.00	-0.41		6	-646	16478	1	20	-40

quat	0.91	-0.01	0.00	-0.41		88	-428	16384	-16	17	-31

quat	0.91	-0.01	0.00	-0.41		160	-332	16326	3	-1	-23

quat	0.91	-0.01	0.00	-0.41		200	-242	16438	-7	-18	-5

quat	0.91	-0.01	0.00	-0.41		92	-256	16464	-14	-27	13

quat	0.91	-0.01	0.00	-0.41		68	-328	16486	-17	-13	2

quat	0.91	-0.01	0.00	-0.41		128	-324	16548	-26	0	-1

quat	0.91	-0.01	0.00	-0.41		166	-328	16442	-34	10	2

quat	0.91	-0.02	0.00	-0.41		120	-288	16354	-23	7	4

quat	0.91	-0.02	0.00	-0.41		48	-368	16332	-11	6	-1

quat	0.91	-0.02	0.00	-0.41		206	-374	16378	2	6	-11

quat	0.91	-0.02	0.00	-0.41		334	-318	16472	-25	2	22

quat	0.91	-0.02	0.00	-0.41		196	-420	16508	-30	-3	38

quat	0.91	-0.02	0.00	-0.41		-34	-518	16560	-37	-4	32

quat	0.91	-0.02	0.00	-0.41		-28	-488	16402	-35	5	8

quat	0.91	-0.02	0.00	-0.41		80	-464	16352	-30	28	-7

quat	0.91	-0.02	0.00	-0.41		166	-462	16444	-16	34	-4

quat	0.91	-0.02	0.00	-0.41		58	-378	16484	-19	5	22

quat	0.91	-0.02	0.00	-0.41		-42	-480	16436	-6	-7	3

quat	0.91	-0.02	0.00	-0.41		68	-402	16516	-11	-16	4

quat	0.91	-0.02	0.00	-0.41		12	-342	16440	-25	-12	15

quat	0.91	-0.02	0.00	-0.41		50	-410	16472	-17	10	14

quat	0.91	-0.02	0.00	-0.41		78	-492	16424	-26	23	12

quat	0.91	-0.02	0.00	-0.41		-22	-520	16418	-27	19	12

quat	0.91	-0.02	0.00	-0.41		66	-490	16470	-13	13	3

quat	0.91	-0.02	0.00	-0.41		56	-486	16542	-12	-12	0

quat	0.91	-0.02	0.00	-0.41		188	-482	16508	-18	-16	8

quat	0.91	-0.02	0.00	-0.40		134	-482	16500	-21	-6	11

quat	0.91	-0.02	0.00	-0.40		98	-476	16452	-28	-1	24

quat	0.91	-0.02	0.00	-0.40		-54	-518	16324	-32	-6	28

quat	0.91	-0.02	0.00	-0.40		-160	-654	16422	-13	5	2

quat	0.91	-0.02	0.00	-0.40		38	-574	16384	-1	-15	-26

quat	0.91	-0.02	0.00	-0.40		272	-426	16382	8	-10	-28

quat	0.91	-0.02	0.00	-0.40		246	-466	16358	5	-19	-15

quat	0.91	-0.02	0.00	-0.41		270	-450	16456	12	-8	3

quat	0.91	-0.02	0.00	-0.40		144	-408	16522	0	-12	24

quat	0.91	-0.02	0.00	-0.40		104	-488	16514	5	-2	30

quat	0.91	-0.02	0.00	-0.40		-28	-628	16440	-17	1	33

quat	0.91	-0.02	0.00	-0.40		-108	-626	16440	-16	11	20

quat	0.91	-0.02	0.00	-0.40		-102	-694	16310	-5	-5	1

quat	0.91	-0.02	0.00	-0.40		102	-628	16270	7	-16	-12

quat	0.91	-0.02	0.00	-0.40		140	-580	16426	17	-26	-10

quat	0.91	-0.02	0.00	-0.40		250	-478	16466	-6	-25	12

quat	0.91	-0.02	0.00	-0.40		156	-446	16420	9	-11	19

quat	0.91	-0.02	0.00	-0.40		124	-462	16636	15	3	15

quat	0.91	-0.02	0.00	-0.40		164	-470	16320	5	1	6

quat	0.91	-0.02	0.00	-0.40		92	-466	16338	18	8	7

quat	0.91	-0.02	0.00	-0.40		86	-494	16442	22	8	7

quat	0.91	-0.02	0.00	-0.40		116	-530	16502	28	-10	-3

quat	0.91	-0.02	0.00	-0.40		240	-450	16448	34	-18	-8

quat	0.91	-0.02	0.00	-0.40		268	-490	16444	29	-10	-2

quat	0.91	-0.02	0.00	-0.40		44	-484	16330	5	4	9

quat	0.91	-0.02	0.00	-0.40		62	-482	16338	9	21	2

quat	0.91	-0.02	0.00	-0.40		60	-532	16484	18	9	1

quat	0.91	-0.02	0.00	-0.40		82	-510	16408	19	-3	-5

quat	0.91	-0.02	0.00	-0.40		54	-458	16510	21	-13	-5

quat	0.91	-0.02	0.00	-0.40		148	-430	16556	18	-4	-3

quat	0.91	-0.02	0.00	-0.40		214	-340	16500	17	9	-3

quat	0.91	-0.02	0.00	-0.40		196	-326	16660	6	15	1

quat	0.91	-0.02	0.00	-0.40		252	-388	16546	-11	6	1

quat	0.91	-0.02	0.00	-0.40		310	-300	16380	-13	1	6

quat	0.91	-0.02	0.00	-0.40		196	-394	16392	-15	14	24

quat	0.91	-0.02	0.00	-0.40		86	-416	16310	-14	27	15

quat	0.91	-0.02	0.00	-0.40		66	-480	16466	4	34	10

quat	0.91	-0.02	0.00	-0.40		80	-456	16508	-10	28	15

quat	0.91	-0.02	0.00	-0.40		46	-430	16448	-19	11	19

quat	0.91	-0.02	0.00	-0.40		96	-440	16526	-9	10	12

quat	0.91	-0.02	0.00	-0.40		62	-438	16474	-11	4	20

quat	0.92	-0.02	0.00	-0.40		6	-440	16458	-7	6	8

quat	0.91	-0.02	0.00	-0.40		78	-492	16488	9	6	-10

quat	0.91	-0.02	0.00	-0.40		224	-414	16418	-1	6	-3

quat	0.92	-0.02	0.00	-0.40		114	-428	16470	-4	3	14

quat	0.92	-0.02	0.00	-0.40		104	-482	16478	-11	7	16

quat	0.92	-0.02	0.00	-0.40		46	-432	16476	-15	18	8

quat	0.92	-0.02	0.00	-0.40		132	-404	16462	-7	25	-2

quat	0.92	-0.02	0.00	-0.40		138	-346	16470	-15	24	5

quat	0.92	-0.02	0.00	-0.40		-14	-406	16618	-7	-3	12

quat	0.92	-0.02	0.00	-0.40		32	-442	16364	-1	-24	8

quat	0.92	-0.02	0.00	-0.40		-46	-394	16398	-9	4	23

quat	0.92	-0.02	0.00	-0.40		-48	-552	16468	7	21	1

quat	0.92	-0.01	0.00	-0.40		40	-608	16452	7	20	-12

quat	0.92	-0.01	0.00	-0.40		304	-462	16410	1	-1	-27

quat	0.92	-0.01	0.00	-0.40		358	-392	16354	-9	-7	7

quat	0.92	-0.02	0.00	-0.40		180	-416	16486	-9	-12	28

quat	0.92	-0.02	0.00	-0.40		32	-496	16558	-6	-22	22

quat	0.92	-0.02	0.00	-0.40		-36	-524	16438	-9	-15	2

quat	0.92	-0.02	0.00	-0.40		110	-468	16420	-8	-3	-6

quat	0.92	-0.02	0.00	-0.40		130	-470	16364	-22	18	7

quat	0.92	-0.02	0.00	-0.40		126	-398	16378	-11	21	14

quat	0.92	-0.02	0.00	-0.40		112	-400	16486	-3	8	22

quat	0.92	-0.02	0.00	-0.40		100	-484	16466	-7	-1	26

quat	0.92	-0.02	0.00	-0.40		-14	-460	16440	-9	15	17

quat	0.92	-0.02	0.00	-0.40		102	-508	16442	-2	15	4

quat	0.92	-0.02	0.00	-0.40		-60	-490	16380	-12	13	5

quat	0.92	-0.02	0.00	-0.40		180	-404	16372	9	-6	-12

quat	0.92	-0.02	0.00	-0.40		110	-424	16448	5	-14	3

quat	0.92	-0.02	0.00	-0.40		126	-430	16420	-7	-4	11

quat	0.92	-0.02	0.00	-0.40		102	-442	16440	6	0	6

quat	0.92	-0.02	0.00	-0.40		-16	-460	16366	7	12	5

quat	0.92	-0.02	0.00	-0.40		64	-474	16468	20	15	-7

quat	0.92	-0.01	0.00	-0.40		34	-470	16422	6	7	-3

quat	0.92	-0.01	0.00	-0.40		84	-434	16412	-6	-5	4

quat	0.92	-0.01	0.00	-0.40		112	-442	16480	7	-16	6

quat	0.92	-0.01	0.00	-0.40		24	-398	16402	3	-25	7

quat	0.92	-0.01	0.00	-0.40		86	-442	16566	14	-17	-8

quat	0.92	-0.01	0.00	-0.40		144	-438	16504	-1	0	-1

quat	0.92	-0.01	0.00	-0.40		156	-428	16460	2	-2	-2

quat	0.92	-0.01	0.00	-0.40		136	-416	16422	-1	-7	0

quat	0.92	-0.01	0.00	-0.40		74	-374	16314	-10	-5	15

quat	0.92	-0.01	0.00	-0.40		140	-456	16468	5	-3	13

quat	0.92	-0.01	0.00	-0.40		116	-470	16514	-2	-13	17

quat	0.92	-0.02	0.00	-0.40		170	-472	16566	-6	-10	23

quat	0.92	-0.02	0.00	-0.40		86	-480	16506	-11	-17	20

quat	0.92	-0.02	0.00	-0.40		14	-404	16436	-15	-15	12

quat	0.92	-0.02	0.00	-0.40		106	-420	16402	9	-2	2

quat	0.92	-0.02	0.00	-0.40		72	-488	16472	1	3	5

quat	0.92	-0.02	0.00	-0.40		92	-474	16444	-18	0	6

quat	0.92	-0.02	0.00	-0.40		242	-380	16394	-11	0	-3

quat	0.92	-0.02	0.00	-0.40		270	-398	16406	-5	-10	8

quat	0.92	-0.02	0.00	-0.40		244	-402	16422	0	-28	9

quat	0.92	-0.02	0.00	-0.40		246	-432	16404	0	-16	16

quat	0.92	-0.02	0.00	-0.40		110	-474	16436	-16	4	23

quat	0.92	-0.02	0.00	-0.40		110	-576	16410	-13	16	0

quat	0.92	-0.02	0.00	-0.40		182	-518	16498	-10	12	-2

quat	0.92	-0.02	0.00	-0.40		198	-474	16376	-2	-3	-3

quat	0.92	-0.02	0.00	-0.40		154	-466	16310	-12	-3	8

quat	0.92	-0.02	0.00	-0.40		256	-460	16532	6	-2	2

quat	0.92	-0.02	0.00	-0.40		98	-486	16390	-7	-4	12

quat	0.92	-0.02	0.00	-0.40		144	-498	16446	6	17	-5

quat	0.92	-0.02	0.00	-0.40		260	-532	16512	-13	16	3

quat	0.92	-0.02	0.00	-0.40		190	-516	16392	-20	-4	4

quat	0.92	-0.02	0.00	-0.40		104	-470	16410	-5	-1	1

quat	0.92	-0.02	0.00	-0.40		236	-468	16534	7	-2	-8

quat	0.92	-0.02	0.00	-0.40		146	-406	16424	-13	5	8

quat	0.92	-0.02	0.00	-0.40		86	-450	16400	-4	25	9

quat	0.92	-0.02	0.00	-0.40		118	-484	16404	-1	20	2

quat	0.92	-0.02	0.00	-0.40		132	-460	16350	-6	12	12

quat	0.92	-0.02	0.00	-0.40		48	-482	16410	-7	2	20

quat	0.92	-0.02	0.00	-0.40		54	-484	16412	1	-1	8

quat	0.92	-0.02	0.00	-0.40		98	-496	16532	9	0	-6

quat	0.92	-0.02	0.00	-0.40		282	-444	16620	3	-12	-10

quat	0.92	-0.02	0.00	-0.40		274	-408	16444	-7	-19	2

quat	0.92	-0.02	0.00	-0.40		154	-450	16516	-10	-18	17

quat	0.92	-0.02	0.00	-0.40		260	-356	16478	-5	-17	11

quat	0.92	-0.02	0.00	-0.40		188	-468	16486	-9	-12	19

quat	0.92	-0.02	0.00	-0.40		18	-398	16356	3	16	-8

quat	0.92	-0.02	0.00	-0.40		236	-512	16542	1	46	8

quat	0.92	-0.02	0.00	-0.40		134	-566	16318	-28	16	13

quat	0.92	-0.02	0.00	-0.40		38	-442	16436	-12	-1	8

