762,25800,-21842
4600,25896,-21736
4427,25727,-22053
3888,24792,-22224
3864,25607,-21832
4016,25238,-21973
4655,24899,-22209
4096,25800,-21732
4526,25573,-21618
4205,25339,-21939
4237,25999,-21935
5180,25238,-21956
4671,25307,-21922
5635,25543,-21997
4530,25577,-21870
4200,25015,-22385
4687,25283,-22017
5001,25431,-21984
4686,25946,-21682
4987,25886,-21781
4775,25564,-21736
4339,25707,-21613
5201,26313,-21364
4909,25511,-21907
5345,25018,-22031
4801,24772,-22278
4536,25679,-21912
3630,25284,-22234
4760,24850,-21928
4010,25623,-22150
4316,24915,-22103
4917,25202,-22139
4568,24777,-22014
4625,25610,-21855
4453,25538,-21979
4097,25239,-22015
4217,25357,-22199
4983,25336,-21961
5123,25030,-22093
4789,25513,-21963
4563,25645,-22186
4853,25528,-22171
3900,25232,-22117
5149,25879,-21555
4393,25482,-21927
4165,24874,-22261
5147,25436,-21749
4011,25777,-21766
4476,25014,-22004
5301,24989,-22123
4942,25217,-22147
4611,25782,-22029
4641,25723,-21830
4566,25676,-21674
5436,25681,-21780
5189,24880,-22140
4756,24732,-22140
5156,25766,-21721
4983,25705,-21849
5523,25615,-21837
5017,25856,-21883
4919,25159,-22009
4422,25586,-21901
4694,25814,-21722
5690,25088,-22438
4668,25000,-22084
4436,25335,-21932
3974,25139,-22166
3895,25494,-22089
4265,25475,-21696
4240,25704,-21744
5016,25379,-21960
5153,25072,-22085
5303,25306,-21849
4977,25345,-22018
5085,26108,-21843
4296,25927,-22104
4878,24990,-22170
5171,25217,-22157
4691,25926,-21743
4941,25167,-21971
4654,26058,-21506
4172,24903,-22112
4252,25232,-22068
4864,25937,-21818
4821,25456,-21979
4416,24893,-22384
4504,25017,-22168
4943,25014,-22081
4011,25080,-22082
4371,25501,-21837
4864,25443,-21776
4560,25514,-22022
4819,25418,-21965
5978,25797,-21707
4836,24974,-22172
5119,25526,-21857
4442,25451,-21924
5109,26036,-21755
4945,25445,-21810
4125,25204,-22019
4084,24778,-22092
5432,25164,-22020
4362,25638,-22182
4838,25531,-22068
5289,25136,-22215
4304,25026,-22320
4723,25409,-22047
5044,25222,-21884
4705,25661,-21656
4890,26446,-21366
4652,25371,-21956
5311,25158,-22055
4834,25273,-22030
4183,25091,-21959
3333,25527,-21707
4907,25054,-22325
4627,24966,-22056
4812,25894,-21956
4655,25487,-21893
4912,26088,-21760
4864,25411,-21920
4571,25376,-21862
3988,25202,-22220
4304,25775,-21996
5383,25178,-22009
4671,25562,-21585
4526,25524,-21986
5553,24726,-22143
5161,25449,-21885
4899,25014,-22173
5080,25936,-21936
5006,26469,-21650
4340,25421,-22236
4605,25712,-21591
3883,25888,-22053
4490,26043,-21794
4241,26229,-21343
5293,25162,-22131
4809,25111,-22108
4063,25529,-21969
4616,25081,-22004
4409,25140,-22167
4676,25232,-22236
5123,25572,-21825
4677,25061,-21787
5719,26026,-21960
4131,25736,-21885
4294,25968,-21930
5317,25629,-21706
4412,25550,-21748
4695,26180,-21519
5038,25865,-21666
4607,26333,-21745
5027,26033,-21720
5119,25899,-21681
4051,25727,-21747
5074,24865,-22078
5258,25939,-21606
4364,24291,-22568
4751,25577,-21857
4886,24866,-22257
5056,25316,-21792
4862,25522,-22050
4311,25376,-21739
5041,25476,-21695
5305,25010,-22018
4783,25564,-21793
4951,25401,-22105
4592,25649,-21917
4183,25256,-22009
4686,25234,-21994
4872,25261,-21896
5076,25639,-21500
4736,26155,-21825
3752,25572,-22104
4437,25779,-21460
4884,25497,-21740
5315,25090,-21997
4270,25585,-22149
4566,24592,-22378
4979,25300,-21736
4955,25436,-21781
4797,25413,-21891
4843,25352,-22121
4827,25690,-21861
5013,25946,-21838
4072,25810,-21960
5408,25645,-21776
4774,25835,-22067
4640,25558,-21936
4297,25879,-21828
4988,25518,-21988
4885,24747,-21947
4400,26087,-21712
4537,25762,-22055
4965,26202,-21993
4551,25901,-21577
4055,25345,-21913
4018,25685,-21918
4102,25067,-21834
4907,26082,-21623
4852,25025,-22156
4664,25346,-21834
4733,24995,-22211
5270,25225,-21866
4481,26195,-21776
4639,25992,-21905
4543,25531,-21945
4248,25479,-22008
4956,25205,-22132
4443,25938,-22077
4613,25544,-22027
4940,25538,-22245
5875,25717,-21821
4353,25624,-21967
5090,25406,-21785
5462,25795,-21834
4698,25497,-22001
4232,25400,-21928
4841,25184,-21783
4337,26033,-21832
4758,25167,-22026
4637,25788,-22002
4568,25163,-22232
4657,25174,-21903
4105,25454,-21681
4312,25496,-22008
5319,25357,-21868
4481,24822,-22351
4194,25278,-22078
3973,24935,-22109
4900,25473,-21916
5102,25816,-22018
3844,24844,-22028
5167,24846,-21889
5061,25485,-22011
3713,25441,-21855
4651,25508,-21876
5096,25762,-21992
4843,25784,-22133
4118,25401,-21930
4553,25362,-21735
