501,-309,15994
731,442,15951
476,-103,16036
475,-65,16031
450,-102,16078
511,-79,16034
545,-119,16004
487,-108,16012
487,-108,16033
478,-84,16003
478,-109,16008
477,-119,16028
494,-86,15995
482,-82,16021
488,-81,16002
475,-83,16024
476,-72,16003
479,-74,16025
493,-55,16009
490,-61,16008
493,-76,16017
488,-63,16039
485,-50,15986
476,-73,16006
486,-64,16037
488,-64,16026
488,-42,16001
472,-86,16017
467,-58,16038
484,-44,15998
481,-67,15995
490,-59,16008
493,-40,16001
481,-46,16020
495,-56,16020
491,-62,16008
484,-63,16018
476,-48,16014
480,-48,16018
479,-76,16001
492,-65,16002
477,-61,16025
487,-60,16015
476,-56,15970
493,-49,16017
464,-38,16028
490,-59,16007
494,-64,16014
494,-64,16005
477,-59,15994
474,-40,15988
476,-62,16021
478,-39,16018
486,-46,16007
496,-35,16019
520,-52,16011
471,-80,16016
490,-29,15955
446,40,15992
546,-22,15993
506,-10,16024
470,-62,16023
456,-57,15973
505,-86,15996
477,-77,16023
499,-51,16035
488,-59,15998
553,-60,15911
504,-174,15918
477,-86,16031
500,-31,16024
491,-43,15985
479,-94,16013
490,-55,16015
470,-31,16008
488,-67,16020
475,-51,16016
501,-34,15989
475,-56,16021
482,-46,16050
491,-47,15998
479,-117,16001
481,-43,16021
475,-48,16023
476,-44,15976
476,-53,16011
474,-52,16034
472,-40,15988
469,-45,16005
471,-56,16025
480,3,15943
482,-46,15978
468,-58,16013
507,69,16039
488,71,15962
461,-55,15967
477,-5,16033
473,17,16030
482,31,15995
473,-1,15998
498,42,16011
488,69,16015
465,153,16054
467,67,16015
482,47,16011
446,136,15988
419,246,16023
417,3,16174
455,-203,16042
503,52,15973
302,146,16048
733,693,15835
574,-167,16054
416,158,16013
415,191,16020
540,-66,16049
478,240,15967
473,94,15998
553,-11,15958
464,128,16012
511,-30,16019
472,138,15994
447,36,15983
440,135,16038
448,174,16025
453,143,16020
459,98,15988
495,169,16034
492,153,16009
510,130,16000
466,61,15977
499,547,16064
457,251,15987
542,601,16009
594,-1210,16048
496,214,15929
425,291,16018
618,69,15989
605,239,15964
540,220,16002
560,255,15986
548,294,15982
554,308,15985
537,432,15972
521,250,15994
552,338,16017
561,166,16002
615,382,16005
543,445,15991
542,264,16097
645,692,16010
539,215,15912
459,513,16012
540,277,15948
-292,846,16098
596,428,15688
470,254,16300
592,481,15899
412,518,15941
698,358,16052
612,573,16015
932,824,16366
644,875,15740
276,360,16137
458,760,15846
337,623,15949
461,574,16311
622,922,16042
703,714,15681
815,-146,16617
716,273,15817
704,463,16317
717,575,16008
771,794,15147
825,458,15917
710,435,16102
756,508,15970
773,493,15950
745,471,16006
745,454,15986
719,446,15977
693,430,16029
667,477,15983
841,369,15952
735,341,15993
618,343,16025
1013,501,15859
947,516,16062
896,235,15986
657,503,16021
693,328,16061
900,35,16395
312,-234,16220
1843,1295,14489
2432,1494,16007
565,856,16465
-76,390,16162
381,-446,16048
1040,-42,16246
876,-116,15815
1468,435,15492
748,479,15839
446,694,15365
-776,399,15668
1247,467,16250
281,-233,14573
-2002,-262,17063
-1227,1227,15808
-1132,911,15809
2209,1543,15920
-1598,1933,15429
-435,2055,14394
-1458,5411,16083
-1066,985,15853
-2256,1708,16315
-2534,2260,15591
-2614,2388,16064
-2863,2164,16298
-3391,3276,15161
-2403,3680,14599
-2007,4372,14588
-3586,3210,14506
-3128,4363,15024
-3204,4857,15144
-3159,4801,15055
-2749,5695,14958
-1888,5940,14423
-2551,5387,14103
-2711,5549,14187
-3210,5893,14641
-2247,6227,14759
-1914,6133,14338
-2806,5863,14577
-2517,5916,14532
-2469,5803,14781
-2403,5761,14229
-2271,5912,14534
-3673,5198,15248
-3147,5860,14808
-2616,5747,14317
-2759,4990,14069
-8076,3830,8546
-2798,4067,14431
-3547,3792,15080
-6893,949,16674
-3109,3491,15688
-3288,2490,16269
-3025,3183,15020
-2582,3455,15530
-2390,2615,15560
